83.9	36.59	25	-0.46	-1.23	1.69	-0.02	0.27	0.71	23
72.62	38.04	24	-0.12	-1.65	1.77	0.11	-0.26	-0.53	24
66.57	30.69	22	0.33	-2.44	2.11	-0.3	-1.14	-2.35	24
73.32	39.49	22	0.61	-0.18	-0.43	0.55	-0.45	-1.92	24
66.58	30.78	15	0.1	-2.88	2.78	-0.46	-1.76	-4.59	23
69.93	30.83	24	-0.49	0.59	-0.1	1.01	-2.06	-2.81	23
74.14	39.27	19	-0.05	-0.68	0.73	-0.12	-0.2	-0.86	26
74.26	39.26	20	-0.34	-1.8	2.14	0.03	-0.34	-3.67	23
83.87	30.43	19	0.58	-1.49	0.92	0.28	-0.42	-1.43	23
72.55	38.13	120	1.1	-0.94	-0.16	-1.29	0.44	-1.98	23
73.47	39.28	17	-0.62	-1.59	2.21	-1.33	0.13	-3.34	23
72.01	37.66	30	-0.61	-4.23	4.84	-0.56	-1.43	2.53	23
67.37	28.9	25	0.48	-3.48	3.0	1.56	-0.56	-1.64	23
71.42	39.5	24	0.38	0.57	-0.94	-0.72	0.15	-0.68	25
73.54	39.43	15	0.75	-1.05	0.3	0.01	-0.11	-1.26	23
70.73	38.73	29	-0.46	-1.57	2.03	0.4	-0.44	1.11	23
66.06	29.77	28	-0.4	-0.95	1.35	-0.45	0.07	-2.75	23
72.33	38.98	21	0.42	-1.68	1.25	-0.16	0.4	-1.21	23
72.38	38.47	132	0.7	-3.03	2.33	-1.14	-1.93	-1.87	23
74.5	39.76	30	1.13	-2.78	1.65	1.06	0.56	-4.33	23
70.93	36.34	112	0.52	-1.16	0.64	0.14	0.53	-0.31	24
73.51	39.44	20	0.72	-1.49	0.77	-0.38	1.0	-0.99	23
73.41	38.43	145	-1.2	-1.89	3.09	-3.67	-1.95	-5.31	23
80.97	35.15	22	-0.65	-2.42	3.08	1.53	-0.06	3.01	23
81.04	35.1	26	-0.11	-0.91	1.03	0.11	0.22	1.06	24
77.08	39.52	20	-0.03	-2.45	2.48	-0.04	0.09	0.19	24
71.06	36.43	229	1.6	0.35	-1.95	-1.78	1.04	-2.67	23
69.5	35.73	89	0.15	1.92	-2.07	1.6	-0.22	0.95	23
81.46	44.75	34	0.76	-2.1	1.34	0.34	0.87	1.15	23
74.76	39.11	19	0.02	-1.99	1.97	0.71	0.9	-5.14	23
70.16	30.87	20	0.17	0.44	-0.61	-0.16	0.29	-1.49	23
73.78	39.1	78	-0.13	-0.17	0.31	0.51	0.72	-1.65	23
70.45	36.55	209	1.0	1.24	-2.24	1.59	0.37	-0.13	25
83.69	41.3	16	-0.1	-0.7	0.8	-0.26	0.35	1.32	24
77.23	39.8	21	0.04	0.3	-0.34	0.02	0.08	-0.92	24
81.19	41.86	17	0.17	-0.91	0.73	-0.29	0.05	0.72	23
81.19	41.88	18	0.22	-1.49	1.27	-0.63	-0.13	1.24	23
73.94	39.69	16	1.61	-3.45	1.84	0.51	-1.44	-2.86	23
70.86	39.04	13	0.96	0.02	-0.98	-0.07	-0.59	-1.52	24
83.78	41.41	18	0.02	-0.62	0.6	-0.47	0.57	1.1	23
73.66	38.04	29	-0.13	-0.76	0.89	-0.11	0.05	-0.38	24
78.04	34.28	12	-0.3	-0.02	0.32	0.54	-0.14	0.71	24
78.03	34.35	18	-1.74	0.58	1.16	2.99	0.05	4.27	23
67.38	30.24	19	0.59	-2.93	2.34	-0.45	0.51	-0.49	24
81.17	41.8	12	0.53	-0.91	0.38	-0.2	-0.14	0.72	24
66.22	30.11	20	-0.26	-2.24	2.51	-0.69	-0.08	-3.43	23
69.11	35.09	20	1.19	-5.47	4.28	1.27	-2.47	-1.84	23
70.21	37.43	38	0.46	-0.96	0.5	1.18	-0.22	-1.72	23
73.14	38.2	27	-0.86	-0.82	1.68	-0.64	-0.0	0.63	23
73.07	38.17	27	-0.14	-2.38	2.53	-0.51	0.67	-0.45	24
73.17	38.57	130	-0.19	-0.73	0.92	-1.21	-0.38	-1.76	23
66.63	36.84	33	-0.0	-1.02	1.02	0.31	-0.23	-0.18	24
68.89	32.13	21	0.17	-1.9	1.74	0.36	0.16	-0.13	23
74.91	35.58	30	-0.32	-0.73	1.06	-0.42	-0.47	-0.27	24
73.59	38.74	120	1.24	-2.5	1.25	-0.15	0.99	-0.2	23
70.5	36.44	59	-0.31	0.14	0.18	0.96	0.71	-2.3	23
69.12	36.06	28	0.16	5.83	-5.99	0.56	-0.32	-0.31	23
74.94	35.64	31	-0.07	-0.56	0.63	-0.34	-0.38	-0.26	24
77.94	35.97	22	2.85	-3.22	0.37	1.58	-0.15	4.38	23
64.47	28.02	50	0.23	0.93	-1.17	-0.29	1.2	2.51	23
77.71	36.13	30	-0.83	-2.05	2.88	1.52	-0.01	3.63	23
69.56	32.94	16	0.25	-1.37	1.12	0.5	-0.34	-1.55	25
69.64	32.99	20	0.14	-4.33	4.18	2.18	-0.83	-6.39	23
70.45	36.45	220	1.61	-0.62	-0.98	-1.91	-0.19	2.95	23
77.72	35.98	25	0.44	-1.66	1.22	1.23	-0.32	2.68	23
66.71	36.83	25	-0.0	-2.06	2.06	-0.01	-0.39	0.65	23
71.43	35.63	108	2.74	0.71	-3.45	1.96	-0.97	-3.59	23
82.41	39.96	31	1.5	-4.17	2.66	0.36	-2.82	4.47	24
73.22	38.16	14	-0.66	-1.52	2.18	-0.05	-0.09	-1.09	26
79.93	41.8	31	0.5	-1.94	1.43	0.1	-1.17	1.82	23
73.18	38.03	21	0.09	-2.19	2.1	0.22	0.2	-1.64	23
81.31	35.12	25	-0.41	-3.85	4.26	1.43	-0.43	2.59	23
69.65	36.53	175	1.58	-3.29	1.71	0.21	2.04	0.33	23
69.8	39.34	15	0.01	0.73	-0.75	1.77	-5.95	-6.9	24
79.81	35.75	30	-0.49	-1.21	1.7	0.31	-0.29	0.22	23
73.05	38.11	27	-1.03	-1.47	2.5	-0.38	1.29	-1.99	23
74.04	37.81	21	0.01	-1.42	1.41	-0.38	0.44	-0.37	23
72.27	38.51	26	-0.04	-0.86	0.89	0.01	0.0	-0.26	24
70.32	36.45	137	0.58	-1.82	1.24	-0.06	1.46	-2.27	23
69.95	37.16	21	-0.03	-1.56	1.59	0.04	-0.24	-1.2	23
78.6	41.27	23	0.65	-1.64	0.99	-0.42	-0.69	-0.92	23
66.8	36.55	12	1.22	-1.72	0.51	-0.53	-1.31	-2.31	23
70.96	36.14	103	1.75	-2.22	0.47	-0.42	2.25	-3.45	23
